Date,Variação Total (R$),Variação Percentual,Nome
2021-06-25,-0.2699954223632659,-0.000800057552858835,VALE3
2021-06-28,-5.670004577636703,-0.016801507030659635,VALE3
2021-06-29,0.0600064086914216,0.0001778125720550694,VALE3
2021-06-30,2.2800000000000153,0.006756156102764699,VALE3
2021-07-01,-3.6300036621093597,-0.010756522541586988,VALE3
2021-07-02,3.270005493164078,0.009689766477506412,VALE3
2021-07-05,2.039994506835953,0.006044965498669397,VALE3
2021-07-06,3.839989929199234,0.011378759383646742,VALE3
2021-07-07,4.829995422363297,0.014312369758388233,VALE3
2021-07-08,3.5100109863281403,0.010400957081601714,VALE3
2021-07-12,7.739999084472672,0.02293536932015483,VALE3
2021-07-13,9.780000000000015,0.028980353809227477,VALE3
2021-07-14,7.890008239746109,0.023379880403431752,VALE3
2021-07-15,8.970010070800797,0.026580170298991845,VALE3
2021-07-16,2.730004577636734,0.008089621529726365,VALE3
2021-07-19,-0.9899890136718597,-0.0029335615422759753,VALE3
2021-07-20,1.8299954223632966,0.0054226906758032545,VALE3
2021-07-21,5.730004577636734,0.016979300612311343,VALE3
2021-07-22,6.629990844726578,0.019646163643365577,VALE3
2021-07-23,4.890008239746109,0.014490201320846552,VALE3
2021-07-26,12.329995422363297,0.03653656746485101,VALE3
2021-07-27,5.070000915527359,0.015023560362483757,VALE3
2021-07-28,14.430009155273453,0.04275938351638198,VALE3
2021-07-29,9.239999084472672,0.02738020886144743,VALE3
2021-07-30,-11.189993591308578,-0.0331584839876391,VALE3
2021-08-02,-10.679999084472641,-0.03164725482108821,VALE3
2021-08-03,0.44999816894532785,0.0013334464365581944,VALE3
2021-08-04,0.0899899291992341,0.0002666605304153524,VALE3
2021-08-05,-10.229994506835922,-0.030313789394126656,VALE3
2021-08-06,-8.370009155273422,-0.02480223176955998,VALE3
2021-08-09,-10.439993591308578,-0.03093606421699291,VALE3
2021-08-10,-7.290007324218735,-0.021601941873999886,VALE3
2021-08-11,-9.660010070800766,-0.028624796487986437,VALE3
2021-08-12,-9.870009155273422,-0.02924707131085258,VALE3
2021-08-13,-12.569990844726547,-0.03724772822688405,VALE3
2021-08-16,-11.069990844726547,-0.03280288868559145,VALE3
2021-08-17,-16.469999999999985,-0.04880433816339225,VALE3
2021-08-18,-27.23998901367186,-0.0807182535148957,VALE3
2021-08-19,-44.93999359130858,-0.1331673736667217,VALE3
2021-08-20,-44.81999084472655,-0.13281177836467406,VALE3
2021-08-23,-48.87000915527342,-0.14481289938445918,VALE3
2021-08-24,-38.340002746582016,-0.11361010681418204,VALE3
2021-08-25,-38.969999999999985,-0.11547693128278069,VALE3
2021-08-26,-42.7799899291992,-0.1267667938756014,VALE3
2021-08-27,-35.399992675781235,-0.10489819147118629,VALE3
2021-08-30,-37.31999084472655,-0.11058758065821128,VALE3
2021-08-31,-41.42999908447264,-0.12276646541758574,VALE3
2021-09-01,-40.9200045776367,-0.12125523625103474,VALE3
2021-09-02,-41.84999725341795,-0.12401101506331813,VALE3
2021-09-03,-41.6399981689453,-0.12338874024045188,VALE3
2021-09-06,-46.290007324218735,-0.13716776994760638,VALE3
2021-09-08,-52.34999725341795,-0.155124891852366,VALE3
2021-09-09,-53.37000915527342,-0.15814741800833676,VALE3
2021-09-10,-53.040007324218735,-0.15716954788342297,VALE3
2021-09-13,-53.18999359130858,-0.1576139911438308,VALE3
2021-09-14,-55.20001098632811,-0.16357012767454326,VALE3
2021-09-15,-62.25000640869139,-0.1844608599540445,VALE3
2021-09-16,-73.67999908447264,-0.21833051555537575,VALE3
2021-09-17,-79.01999542236327,-0.23415413347071823,VALE3
2021-09-20,-89.21999999999998,-0.26437905591608135,VALE3
2021-09-21,-85.10999176025389,-0.2522001711567069,VALE3
2021-09-22,-76.1399981689453,-0.2256200496901808,VALE3
2021-09-23,-100.73998901367186,-0.2985153910382311,VALE3
2021-09-24,-104.39999267578123,-0.309360810370644,VALE3
2021-09-27,-101.06999084472655,-0.299493261163145,VALE3
2021-09-28,-112.9200045776367,-0.33460753423307765,VALE3
2021-09-29,-110.06999084472655,-0.3261622984109004,VALE3
2021-09-30,-108.75000640869139,-0.32225088573411387,VALE3
2021-10-01,-108.87000915527342,-0.3226064810361615,VALE3
2021-10-04,-111.00000640869139,-0.32891814504605266,VALE3
2021-10-05,-112.62000915527342,-0.3337185798893929,VALE3
2021-10-06,-106.29000732421873,-0.3149613515993088,VALE3
2021-10-07,-99.3899981689453,-0.2945150625802154,VALE3
2021-10-08,-97.9200045776367,-0.290159138820152,VALE3
2021-10-11,-92.60999176025389,-0.2744243688631698,VALE3
2021-10-13,-99.87000915527342,-0.29593744378840614,VALE3
2021-10-14,-99.87000915527342,-0.29593744378840614,VALE3
2021-10-15,-95.42999908447264,-0.2827806889041178,VALE3
2021-10-18,-97.71000549316405,-0.28953686399728584,VALE3
2021-10-19,-100.46999999999998,-0.29771535247577563,VALE3
2021-10-20,-107.46000549316405,-0.3184283210156875,VALE3
2021-10-21,-111.98998901367186,-0.3318516875979254,VALE3
2021-10-22,-109.22999450683592,-0.3236731991194356,VALE3
2021-10-25,-106.46999999999998,-0.3154947106409458,VALE3
2021-10-26,-108.92999908447264,-0.32278424477575085,VALE3
2021-10-27,-114.12000915527342,-0.3381634194306855,VALE3
